Column 1,Column 2,Column 3,Column 4
156,"Aaron Nesmith, SF",Indiana Pacers,"$11,000,000"
157,"Chet Holmgren, PF",Oklahoma City Thunder,"$10,880,640"
158,"Chris Boucher, PF",Toronto Raptors,"$10,810,000"
159,"Jarred Vanderbilt, PF",Los Angeles Lakers,"$10,714,286"
160,"Aaron Wiggins, SG",Oklahoma City Thunder,"$10,514,017"
161,"Chris Paul, PG",San Antonio Spurs,"$10,460,000"
162,"Scoot Henderson, G",Portland Trail Blazers,"$10,259,160"
163,"Isaac Okoro, SF",Cleveland Cavaliers,"$10,185,185"
164,"Scottie Barnes, SF",Toronto Raptors,"$10,130,980"
165,"Reed Sheppard, G",Houston Rockets,"$10,098,960"
166,"Mike Conley, PG",Minnesota Timberwolves,"$9,975,962"
167,"Jonas Valanciunas, C",Sacramento Kings,"$9,900,000"
168,"Alex Caruso, SG",Oklahoma City Thunder,"$9,890,000"
169,"Royce O'Neale, PF",Phoenix Suns,"$9,821,429"
170,"Jabari Smith Jr., PF",Houston Rockets,"$9,770,880"
RK,NAME,TEAM,SALARY
171,"Derrick Jones Jr., SF",LA Clippers,"$9,523,810"
172,"Al Horford, C",Boston Celtics,"$9,500,000"
173,"Pat Connaughton, SG",Milwaukee Bucks,"$9,423,869"
174,"T.J. McConnell, PG",Indiana Pacers,"$9,300,000"
175,"Luke Kennard, SG",Memphis Grizzlies,"$9,250,000"
176,"Amen Thompson, F",Houston Rockets,"$9,249,960"
177,"Jalen Suggs, SG",Orlando Magic,"$9,188,385"
178,"Stephon Castle, G",San Antonio Spurs,"$9,131,760"
179,"Gary Payton II, SG",Golden State Warriors,"$9,130,000"
180,"Tre Jones, PG",Chicago Bulls,"$9,104,167"
RK,NAME,TEAM,SALARY
181,"Goga Bitadze, C",Orlando Magic,"$9,057,971"
182,"Zeke Nnaji, PF",Denver Nuggets,"$8,888,889"
183,"Keegan Murray, SF",Sacramento Kings,"$8,809,560"
184,"Kyle Anderson, SF",Miami Heat,"$8,780,488"
185,"Buddy Hield, SG",Golden State Warriors,"$8,780,488"
186,"Naji Marshall, SF",Dallas Mavericks,"$8,571,429"
187,"Jalen Smith, PF",Chicago Bulls,"$8,571,429"
188,"Georges Niang, SF",Atlanta Hawks,"$8,500,000"
189,"Ausar Thompson, F",Detroit Pistons,"$8,376,000"
190,"Josh Giddey, SG",Chicago Bulls,"$8,352,367"
RK,NAME,TEAM,SALARY
191,"Josh Okogie, SF",Charlotte Hornets,"$8,250,000"
192,"Ronald Holland II, F",Detroit Pistons,"$8,245,320"
193,"Caleb Martin, SF",Dallas Mavericks,"$8,149,001"
194,"Cody Martin, SF",Charlotte Hornets,"$8,120,000"
195,"Trey Lyles, PF",Sacramento Kings,"$8,000,000"
196,"Jock Landale, C",Houston Rockets,"$8,000,000"
197,"Jeff Green, PF",Houston Rockets,"$8,000,000"
198,"Kevon Looney, F",Golden State Warriors,"$8,000,000"
199,"Kelly Oubre Jr., SG",Philadelphia 76ers,"$7,983,000"
200,"Jaden Ivey, PG",Detroit Pistons,"$7,977,240"
201,"KJ Martin, F",Utah Jazz,"$7,975,000"
202,"Vasilije Micic, G",Phoenix Suns,"$7,723,000"
203,"Simone Fontecchio, F",Detroit Pistons,"$7,692,308"
204,"Jonathan Kuminga, PF",Golden State Warriors,"$7,636,154"
205,"Anthony Black, G",Orlando Magic,"$7,607,760"
206,"Jae'Sean Tate, SF",Houston Rockets,"$7,565,217"
207,"Tidjane Salaun, F",Charlotte Hornets,"$7,488,720"
208,"Bennedict Mathurin, SG",Indiana Pacers,"$7,245,720"
209,"Max Christie, G",Dallas Mavericks,"$7,142,857"
210,"Franz Wagner, SF",Orlando Magic,"$7,007,092"
RK,NAME,TEAM,SALARY
211,"Ayo Dosunmu, SG",Chicago Bulls,"$7,000,000"
212,"Bilal Coulibaly, SG",Washington Wizards,"$6,945,240"
213,"Nassir Little, SF",Miami Heat,"$6,750,000"
214,"Gary Harris, SG",Orlando Magic,"$6,730,769"
215,"Payton Pritchard, PG",Boston Celtics,"$6,696,429"
216,"Kenrich Williams, SF",Oklahoma City Thunder,"$6,669,000"
217,"Sasha Vezenkov, F",Toronto Raptors,"$6,658,536"
218,"Shaedon Sharpe, SG",Portland Trail Blazers,"$6,614,160"
219,"Donovan Clingan, C",Portland Trail Blazers,"$6,586,440"
220,"Jevon Carter, PG",Chicago Bulls,"$6,500,000"
RK,NAME,TEAM,SALARY
